 inputtext,Answer.sentiment.label
 chicago polic take new look unsolv slay 55 women possibl serial killer,About the police - Neutral
 pregnant woman gone chicago home respons facebook offer free babi cloth strangl,Not about the police
 miss pregnant teen found dead babi cut womb,Not about the police
 former chicago polic command kenneth johnson plead guilti steal 363000 social secur moth,About the police - Negative
 chicago citi leader arrest allegedli file fals polic report,About the police - Neutral
 miss chicago woman found strangl babi cut womb grave condit author say,Not about the police
 let give logic tri men major perpetr violent crime thu law prevent murd,About the police - Negative
 chicago polic beef patrol cta train bu line summer begin memori day weekend,About the police - Neutral
 hippolitopoulm cwbchicago chicagopolic probabl commun servic charg drop right sakimfoxx,About the police - Positive
 chicagopolic ndilnew fbichicago deachicagodiv atfchicago thank vigil,About the police - Positive
 three peopl charg miss pregnant woman found dead chicago southwest side accord,About the police - Neutral
 nypdchiefofdept chicagopolic finestfootbal cpdenforc cheif readi movieswel done,About the police - Neutral
 dailysouthtown offic south suburban emerg respons team involv well chicago height polic offic f,About the police - Neutral
 fed confirm chicago polic depart corrupt thought,About the police - Negative
 chicago alderman renew push elect polic oversight council,About the police - Positive
 demand elect civilian polic account council chicago cpacnow 28567 alleg miscond,About the police - Negative
 helloimjai lorenvanz tiaew chicagopolic fox32new still oper rest countri,Not about the police
 mikelowereport chicagopolic great job cpd,About the police - Positive
 what favorit resourc map overlay polic district chicago neighborhood andor ward journorequest,Not about the police
 editori chicago better today rahm emanuel mayor via suntim,Not about the police
 updat found girl 15 miss austin angela white last seen sunday miss area nea,Not about the police
 chicago polic alert fail arson attempt jewish synagogu via breitbartnew,About the police - Neutral
 chicago polic search suspect caught camera attempt burn synagogu via jnsorg,About the police - Neutral
 chicago polic alert attempt arson vandal synagogu cnn,About the police - Neutral
 polic pregnant woman babi cut womb murder say pregnant woman whose b,About the police - Negative
 teen girl escap hyde park attempt kidnap aid bystand polic,About the police - Neutral
 scari situat polic say alterc two peopl stand near bu turn shootout,Not about the police
 chicagotribun lori lightfoot secur detail head former us marshal who marri citi lobbyist unit,About the police - Positive
 jbnimbl cwbchicago crainschicago chicagopolic kim foxx take care right recus,About the police - Negative
 two injur napervil shoot polic,About the police - Positive
 ajguglielmi sea blue washington honor famili fallen polic offic includ 470 chicagopolic offic stand,About the police - Negative
 man claim charg pit bull shoot twice selfdefens accord polic,About the police - Neutral
 larg fight break chicago height woman shot,Not about the police
 follow covertli electron harass poison amp setup frame racist fbi use low life indiv,Not about the police
 chicagoarea polic warn zombi raccoon distemp,About the police - Positive
 feder grand juri indict 4 teen connect violent carjack chicago fbichicago chicagopolic,Not about the police
 teen girl escap hyde park attempt kidnap aid bystand polic,About the police - Positive
 infant rip womb murder woman polic sourc say via suntim,About the police - Neutral
 cwbchicago chicagopolic popcorn,About the police - Positive
 rn rash fire polic say intent set jewish commun center chicago around boston last week left,About the police - Neutral
 katiekimnbc chicagopolic nbcchicago describ teen also mother 3 year old marri,About the police - Neutral
 latest slain pregnant woman knew alleg killer chicago ap latest slay pregnant chi,About the police - Neutral
 cwbchicago chicagopolic smell jussi smollett deal,About the police - Positive
 suntim man car pull besid boy motion boy come car,Not about the police
 democrat congressman chicago polic sworn enemi black peopl share post,About the police - Negative
 chicagosmayor benbradleytv youv set back policecommun relat 50year hide video your sel,Not about the police
 claudiastellar mani peopl outsid chicago dont get lightfoot white liber bcoz,About the police - Positive
 one case foxx offic appear allow violent offend end probat hous arrest sim,About the police - Neutral
 rahm emanuel cover laquan mcdonald murder hand chicago polic media silent kim foxx,About the police - Negative
 uh oh mayb tina tchen help,Not about the police
 pleas dont forget kierra cole went miss octob last year 5month pregnant still hasnt,Not about the police
 chicagopolic octob 13th 2016 adc whole world would extinct includ jail cook counti dep,About the police - Positive
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chica,About the police - Negative
 cwbchicago chicagopolic jussiesmollett better advoc man show da way jussi,About the police - Positive
 end repar campaign love stori burg tortur survivor famili,About the police - Negative
 chicagocaps14 cpdetd chicagopolic congratul,About the police - Positive
 riversid polic warn dog owner danger zombi raccoon carri distemp viru,About the police - Neutral
 sever incom aldermen say theyll back stall chicago polic civilian oversight plan,About the police - Neutral
 develop unconfirm report shot fire polic riot chicago height,Not about the police
 suntim chicago popul loss mostli south amp west side black neighborhood,Not about the police
 tgunkster cwbchicago chicagopolic thing sakimfoxx,About the police - Negative
 polic 1200 extra offic duti 40 assign new cta safeti squad 100 man fastreactio,About the police - Neutral
 consmilitia oserus99 kkoh1776 cnni given everybodi arm ye self defens ensur w,Not about the police
 mother daughter arrest allegedli strangl pregnant chicago woman rip babi,Not about the police
 tawdri detail jussiesmollett chicago hatecrimehoax made public time impeach unindict,Not about the police
 believ murder believ babi forcibl remov follow murder,Not about the police
 nbcdfw pregnant teen babi cut womb murder polic said,Not about the police
 polic question four peopl connect disappear 19yearold pregnant woman pilsen,About the police - Neutral
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chica,Not about the police
 19yearold pregnant woman found dead chicago babi cut womb polic,About the police - Neutral
 charg file connect chicago height street fight polic say,Not about the police
 chicagopolic chicagocaps14 cta dirti rat,About the police - Negative
 chicago alderman renew push elect polic oversight council,About the police - Positive
 ltgovmickey chicago polic still search teen who miss month jaqu purnel 17 last seen home,About the police - Negative
 chicago polic review unsolv death 55 women possibl serial killer,About the police - Neutral
 nani fuck mother daughter strangl pregnant teen cabl cut infant womb polic via suntim,About the police - Neutral
 pretti rich lectur respons hold bad actor account guy everyt,Not about the police
 chicago polic search suspect caught camera attempt burn synagogu via,About the police - Neutral
 bu hit gunshot polic say stray gunfir struck suburban school bu drop student museum,Not about the police
 racist fbi reli corrupt chicagoevergreen pk polic amp gang amp low life filth individu use covert poi,About the police - Negative
 chicago polic take fresh look unsolv slay 55 women amp8212 possibl serial killer,About the police - Neutral
 eamonn5605 cwbchicago chicagopolic wait wait waitdid blame white person that key chicago,About the police - Negative
 incom chicago mayor path histor polic reform,About the police - Positive
 katiekimnbc chicagopolic nbcchicago great kati,About the police - Positive
 abc3340 incom chicago mayor path histor polic reform,About the police - Neutral
 sever incom aldermen say theyll back stall chicago polic civilian oversight plan,About the police - Negative
 come check game first respond brother cfdblaze may 31st st rita see favorit,About the police - Positive
 horrifi pregnant woman gone chicago home respons facebook offer free babi cloth wa,About the police - Neutral
 fatalencount thedeced name joshua jone citi chicago date 012017 caus death gunsho,Not about the police
 keithboykin judg domenica stephenson acquit three offic laquan mcdonald case elect juri trial p,About the police - Negative
 youtub chicagopolic vnilesil chicagopolic honest abe ducki land time flotu link,About the police - Neutral
 one wildest stori ive read 19yearold woman chicago strangl,About the police - Negative
 chicago citi leader arrest allegedli file fals polic report notsmollett,About the police - Negative
 polic locat remain miss 19yearold pregnant chicago woman accord fox 32 went mi,About the police - Neutral
 man tri lure girl car englewood polic chicago suntim,About the police - Positive
 man shot chicago polic offic barricad situat prompt swat respons wednesday near,About the police - Negative
 roseportal antisemit violenc rise struck,Not about the police
 jeremygorn chicago polic arson unit investig 3 molotov cocktail found outsid lakeview east synagogu,About the police - Neutral
 mother daughter strangl pregnant teen cabl cut infant womb polic via suntim,Not about the police
 nypdchiefpatrol great weather great footbal nypdnew nypdchiefofdept finestfootbal chicagopolic nypdsport,Not about the police
 tiaew helloimjai imag chicagopolic take slew peopl custodi question surround disapp,About the police - Neutral
 wild imagin invest mental health first respondersand school amp healthcar amp good jobsinstead,Not about the police
 molotov cocktail thrown chicago synagogu polic say,About the police - Neutral
 chicago polic,About the police - Negative
 chicago hospit didnt alert polic earli clue wombcut case offici say therearenoword,About the police - Neutral
 jerryhervey polic pregnant woman babi cut womb murder wowk,About the police - Neutral
 also make wonder fate kierra cole pregnant black postal worker disappear last octo,Not about the police
 chicago ramp secur arson attempt vandal synagogu abc news via abc,About the police - Neutral
 polic say woman facebook allegedli lure pregnant victim home offer stroller babi clot,About the police - Neutral
 abc7chicago polic releas surveil imag vehicl struck kill pedestrian last week near chicago state univ,About the police - Negative
 armor truck cop rifl crowd chicago height street,About the police - Neutral
 ceoaetnew nmc21887 chicagopolic true mean that alot citi resourc total 25 loss,Not about the police
 peteypete05 justic chicago polic depart fail solv thousand rape case last decad,About the police - Negative
 watch live chicago polic announc charg 3 peopl murder pregnant teenag marlen ochoa b,About the police - Neutral
 incom chicago mayor path histor polic reform,About the police - Negative
 maryv184 fox32new elizabethfox32 chicagopolic im legal would wouldnt,About the police - Neutral
 collect ss check 25 year mother death 330k chicago exchicago polic com,About the police - Negative
 polic depart across us weigh use facial recognit softwar sever commun rais,About the police - Neutral
 beauti sun goe beauti west end sierravistaaz carolynumphrey cochisecounti,About the police - Negative
 updat 3 charg miss pregnant woman strangl babi taken womb polic chicago th,Not about the police
 realdonaldtrump chicago polic everi right legal protest mayor administr wont let,About the police - Positive
 pregnant 19yearold babi cut womb murder polic say,About the police - Neutral
 outgo ald proco joe moreno taken polic custodi even arrest warrant accord chic,About the police - Positive
 justic chicago polic depart fail solv thousand rape case last decad,About the police - Negative
 chicago 15yearold girl miss two day austin west side locatedpolic canc,Not about the police
 fake plumber burglar elderli homeown chicago polic say,About the police - Negative
 rahmemanuel given contributor spot theatlant amp piec talk hold elit accountab,Not about the police
 chicagotribun chicago polic swat offic respond report arm individu threaten shoot near un,About the police - Neutral
 yesterday celebr star ceremoni angel powel 011th district peer juror high sch,Not about the police
 fox59 three peopl charg miss pregnant woman found dead chicago southwest side accord polic,About the police - Neutral
 truckers4i valuesrevolt oblivio24611819 geoliber allegedsuspect keriannbryan andrewyang jordanbpeterson,Not about the police
 chicagopolic use virtual realiti mental health crisi train northwesternm expert,About the police - Neutral
 still miss illinoi sinc 12152018 ricardo cajiga 36 chicago illinoi back yard neighborh,Not about the police
 exchicago polic command plead guilti steal 363000 social secur mother death,About the police - Negative
 lightfootforchi chicago fiscal posit problem structur deficit pension oblig servic,Not about the police
 anyon inform ask call 911 contact chicago polic svu 3127478274,About the police - Neutral
 never forget,Not about the police
 ryanafourni let sink chicago polic depart gather evid jussi smollett two week mueller gat,About the police - Neutral
 tkabrak hey infanticid democrat perpetr charg one two murder miss pregnant woman fo,Not about the police
 cbschicago miss teen khaliyah william 14 report miss chicago polic,About the police - Neutral
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 ch,Not about the police
 thejusticedept follow covertli electron harass poison amp setup frame racist fbi use l,Not about the police
 new detail case chicago polic state child welfar agenc claim hospit staff didnt alert,About the police - Neutral
 ihavevanish polic pregnant woman babi cut womb murder via mailonlin,About the police - Neutral
 nbcchicago updat fairburi polic report funnel cloud sight area accord nation weather servic,Not about the police
 chicago synagogu target arson vandal polic step patrol,About the police - Neutral
 katiekimnbc chicagopolic nbcchicago teen import stori,About the police - Neutral
 cwbchicago chicagopolic cc sakimfoxx fire recus playbook,About the police - Neutral
 polic zombi raccoon threaten pet health chicago suburb,Not about the police
 cook counti judg whose rule polic brutal case crimin matter come fire app,About the police - Negative
 icymi medic center didnt alert chicago polic earli clue slay 19yearold pregnant teen marlen,About the police - Neutral
 john lindquist last seen 1 pmsunday 5900 block west midway park chicago polic said,About the police - Neutral
 cp divers one core valu read jesu ramo celebr cultur divers chicago hi,Not about the police
 chicagocaps14 chicagopolic know say queen shit hand wipe,About the police - Negative
 travf absolut horrifi accord polic young woman drove high school figueroa home respons,Not about the police
 cwbchicago updat 737am chicago polic announc moreno charg feloni insur fraud feloni obstructio,About the police - Neutral
 wgnnew kind polic detect work chicago couldnt even crack case without famili hire privat detect,About the police - Negative
 two chicago champion chicagocaps09 chicagopolic offic sabrina king amp activist bertoaguayo,About the police - Positive
 polic illinoi child welfar agenc say staff chicagoarea hospit didnt alert determin,Not about the police
 good day unfollow notsosubtli racist chicago polic scanner account,About the police - Negative
 cbschicago polic arrest alleg carjack river north,About the police - Neutral
 new mayor lori lightfoot say polic superintend eddi johnson remain posit chicago publ,About the police - Neutral
 yosoybromero chicago 1st american citi homosexualright organ org form 1924 call soci,Not about the police
 exchicago polic command plead guilti steal 363000 social secur mother death,About the police - Negative
 dont think someon look cook marshmellow seem chicago big problem home antisemit farr,Not about the police
 whatthefemm think children sw side live ptsd dont access proper care rememb th,Not about the police
 polic car blink avenu,About the police - Neutral
 mlcalderon embarrass atlant,Not about the police
 outgo ald proco joe moreno custodi chicago polic warrant may 14 1158 pm et,About the police - Neutral
 sheriff man arrest slap sleep girlfriend face cheeseburg,About the police - Neutral
 chicago polic said 1st ward alderman proco joe moreno custodi warrant issu arrest fo,About the police - Neutral
 chicago polic alert fail arson attempt jewish synagogu,About the police - Neutral
 eric great respons one mani major metropolitan mayor whore take huge part emascul onc,About the police - Positive
 tiredcatepillar need arrest man write articl chicago polic great actual school,About the police - Positive
 come support rooftop rais money law enforc torch run soillinoi may 17,Not about the police
 mikelowereport chicagocaps14 chicagopolic rest peac brother,About the police - Positive
 chicago polic boost presenc jewish school synagogu molotov cocktail found,About the police - Neutral
 potentialjuror talbertswan rahmemanuel chicagopolic usa govern creat neg polici sp,Not about the police
 ald proco joe moreno taken custodi arrest warrant chicago polic say,About the police - Neutral
 djnorfair biggestlittlefc anthrocon furfest furfest better someth call chicag,Not about the police
 chicagoarea polic warn zombi raccoon distemp associ press warn zombi ra,Not about the police
 first zombi deer zombi raccoon what next,Not about the police
 ajguglielmi 2019 nationalpoliceweek event conclud chicagopolic lapdhq unit salut gold st,About the police - Neutral
 three teenag accus carjack offduti chicago polic offic face life prison indi,About the police - Neutral
 chicago polic search suspect beat rob person sleep red line train harrison station,About the police - Neutral
 pamzekmancbs2 cbschicago took 55 women chicagopolic figur might serial killer wtf,About the police - Negative
 miss pregnant teen found slain babi cut womb chicago polic say,About the police - Neutral
 senschum american children innerc cannot flee chicago,Not about the police
 illinoi polic alert earli clue wombcut case polic illinoiss child welfar agenc say sta,About the police - Positive
 chicagocaps14 chicagopolic 14th district well repres nationalpoliceweek washington dc neverforget ht,About the police - Positive
 jtyler220 tweettruth2m lol differ black peopl argu polic injusticebrut,About the police - Negative
 jessicaslawnow updat found girl 15 miss austin angela white last seen sunday miss area near,Not about the police
 marlen ochoauriostegui miss pregnant chicago teen found dead babi cut bodi polic say cb news,Not about the police
 molotov cocktail thrown chicago synagogu polic say,About the police - Neutral
 pregnant chicago woman slain babi cut womb,Not about the police
 watch live polic updat person shot barricad situat near univers chicago,About the police - Negative
 cpdenforc come check game first respond brother cfdblaze may 31st st rita see favorit enfor,Not about the police
 tri time world need wisdom men paper citi tortur site murd,Not about the police
 fed confirm chicago polic depart corrupt thought,About the police - Negative
 lori lightfoot power alli she sworn monday chicago mayor seek fulfil campa,Not about the police
 updat swat standoff jefferson park end nearli 4 hour polic,About the police - Neutral
 everyth come togeth sequoia struggl polic offic chicago cours flight attend c,About the police - Positive
 raylong chicago polic take new look unsolv slay 55 women possibl serial killer involv,About the police - Neutral
 pregnant chicago woman slain babi cut womb say chicago woman sold babi cl,About the police - Negative
 bymassa asromapress solano56 davidamoy watch lot movi pronounc chicago im alway,Not about the police
 fox59 miss pregnant woman strangl babi cut womb murder polic,About the police - Negative
 joeiskindabor cwbchicago emzanotti chicagopolic sandwich involv,About the police - Neutral
 fox32new three chicago polic offic honor rescu woman attack,About the police - Negative
 chicago citi ran primarili women color impress could potenti signal import p,About the police - Neutral
 clarisa figueroa accus murder 19yearold mothertob cut babi tri pass,Not about the police
 chicago polic tap video sourc help solv crime,About the police - Positive
 man shot pit bull selfdefens earlier today chicago southwest side gunman charg,About the police - Neutral
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chi,About the police - Positive
 break chicagopolic confirm alderman proco joe moreno custodi arrest warrant file fals polic report,About the police - Negative
 rahm emanuel tri cover polic kill laquan mcdonald rightli disgrac end p,About the police - Neutral
 lexisuttertv big updat chicagopolic arrest three peopl murder pregnant teen marlen ochoa polic detail,About the police - Neutral
 pregnant teen whose bodi found behind home chicago southwest side murder babi forci,About the police - Neutral
 good see nilespdil chicagopolic repres alexavamurphi,About the police - Positive
 potu follow covertli electron harass poison amp setup frame racist fbi use low life,About the police - Negative
 new chicago mayor lori lightfoot retain sever emanuel cabinet member includ polic supt eddi johnson,About the police - Neutral
 cookcountym remind tomorrow host third annual miss person day headquart 21,About the police - Positive
 48yearold woman miss lawndal southwest side pearlean bailey last seen april 6 1,Not about the police
 appar addit footag courtesi surveil camera nearbi commerci properti show,Not about the police
 stop hate chicago polic day theyr confid theyll find guy fingerprint may shatter glass,About the police - Positive
 nbcchicago sever arrest larg group fight near scene chicago height shoot,About the police - Positive
 cpdsoccer chicagopolic local swansea citi support club weekli match humboldt park lagoon,About the police - Positive
 jnsorg appar addit footag courtesi surveil camera nearbi commerci properti show suspect,Not about the police
 aoc wait omg say name someth hate crime doesnt priorit higher regular c,Not about the police
 lakeviewilpatch lori lightfoot power alli seek fulfil promis overhaul chicago polic depart,About the police - Negative
 polic illinoi child welfar agenc say staff chicagoarea hospit didnt alert determin,About the police - Negative
 nathcpa cbschicago realli famili said investig wo help chicago polic depart,About the police - Positive
 chicago polic depart use virtual realiti headset train offic ho,About the police - Positive
 goldininstitut newslett gatherfellow jamal alkirnawi name one promin peopl negev region,Not about the police
 waynedupreeshow babi brain deadno brain activ hospit chicago investigationthey di,About the police - Positive
 chicago polic alert attempt arson vandal synagogu cnn,About the police - Positive
 ochoalopez bodi found garbag backyard woman offer help polic said,About the police - Positive
 chicago polic alert fail arson attempt jewish synagogu,About the police - Neutral
 talbertswan dear democrat run potu cri migrant children die us custodi mani call account,Not about the police
 vinjc chicago food truck presenc fall major citi boom unfair rule draft restauranteur pass poli,Not about the police
 fed confirm chicago polic depart corrupt thought via theroot,About the police - Negative
 scassell19 deguerrenom rangermonk1 lucyferr3 anarchistr say will bet could n,Not about the police
 suzyrudi rukusmag cwbchicago emzanotti chicagopolic littl thing sometim dont alway,About the police - Neutral
 realdonaldtrump potu foxandfriend dont trust box orteeez home anyon hurri wed,Not about the police
 chicagoarea polic warn resid zombi raccoon distemp sound fake jussi smoll,About the police - Negative
 chicago polic order special attent jewish organ two chicago synagogu recentl,About the police - Neutral
 montanabound miss pregnant chicago woman strangl unborn babi forcibl remov polic,Not about the police
 cwbchicago chicagopolic heard stori,About the police - Neutral
 three peopl charg miss pregnant woman found dead chicago southwest side accord p,Not about the police
 abc7chicago chicago polic warn child lure follow 2 incid,About the police - Neutral
 someon im suicid cop help shoot chicago tribun polic man threaten shoot,About the police - Neutral
 yoongkheong visit north chicago citi polic fire water plant even tour naval station great lake today discuss wide rang,About the police - Positive
 thevrara vr help chicago polic respond mental health emerg crisi intervent train becam mandatori offic,About the police - Neutral
 sheriff man arrest slap sleep girlfriend face cheeseburg,Not about the police
 marlen ochoalopez polic alert earli clue case murder teenag babi cut womb po,About the police - Neutral
 chicago polic warn child lure follow 2 incid near 70th normal blvd suspect drive maroon p,About the police - Neutral
 bbcworld marlen ochoalopez muder chicago polic make three arrest,About the police - Neutral
 larg fight break chicago height woman shot,Not about the police
 abc7chicago polic ask public help find 15yearold girl report miss chicago west side,About the police - Neutral
 peopl go deflect fact chicago polic kill myle fraizer say arm counter,About the police - Negative
 talbertswan rahmemanuel chicagopolic also didnt call atlant abc news hire emanuel,About the police - Neutral
 katiekimnbc chicagopolic nbcchicago give death penalti,Not about the police
 limit case facial recognit technolog polic,About the police - Neutral
 3xv6r johnrjohnson mhzgraphic m1apatriot samtu78 wardcox007 rsshootinggirl patrickgrattan schott gussykrieg4 kamalaharri,Not about the police
 joelmckmil nypd19pct alanstradal1 bftfchicago rcsd ohfcso odmp kscapitolpolic lincolnwoodpd,Not about the police
 incom chicago mayor path histor polic reform,About the police - Neutral
 arlenegloria hell rememb school close black latino neighborhood first teacher strike citi,Not about the police
 cstbreak man video want connect loop aggrav batteri polic,About the police - Neutral
 break chicago polic confirm ald proco joe moreno custodi charg file fals poli,About the police - Negative
 dglwade immoralreport dailycal better idea dump anim san francisco santa fe denver,Not about the police
 latest 3 arrest death pregnant woman chicago ap latest slay pregnant chicago w,About the police - Neutral
 amyjc92 dbongino whst chicago polic brutal corrupt profil trump stare h,About the police - Negative
 keepitreal50 miss pregnant woman found dead babi forcibl remov womb polic say,About the police - Neutral
 got dead mom ss benefit johnson collect 363064 account june 1994 novemb 2017,Not about the police
 horrifi detail famili said believ pregnant teen lure home facebook post pr,Not about the police
 horrifi stori made even wors sloppi lazi polic work undocu peopl refus come forward,About the police - Negative
 chicago polic alert fail arson attempt jewish synagogu attack increas su,About the police - Neutral
 show,Not about the police
 hitler adolph chicagopolic hijack mom smash arm elbow see adolph hitler tri caus,About the police - Neutral
 indivchisouth aislin pulley say chicago repar ordin survivor burg polic tortur victori see articl bel,Not about the police
 polic illinoi child welfar agenc say staff chicagoarea hospit didnt alert determin,About the police - Neutral
 55 chicago women mostli black strangl death one custodi case remain open,About the police - Negative
 chicago alderman renew push elect polic oversight council,About the police - Neutral
 fuck mother daughter strangl pregnant teen cabl cut infant womb polic,About the police - Neutral
 2 weve long expect polic buy citywid realtim facesurveil system second report show,About the police - Neutral
 cesarreport cbschicago im concern father hire privat detect find daughter,About the police - Negative
 teen boy stab fight saint patrick high school chicago polic say,About the police - Neutral
 rozrothstein chicago polic investig attempt arson vandal near synagogu,About the police - Neutral
 shredathon 5th ward alderman hairston present shredathon,Not about the police
 cstbreak updat man shot chicago polic barricad situat near univers chicago,About the police - Negative
 miss pregnant teen found dead babi cut womb,Not about the police
 baseballandthe2 99 year ago week 8 month whitesox conspir throw 1919 worldseri red,About the police - Neutral
 filipecampant number peopl kill rio de janeiro polic first three month year compari,About the police - Negative
 sworn lori lightfoot come chicago mayor offic pledg overhaul citi polic forc,About the police - Neutral
 full servic return,Not about the police
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chica,Not about the police
 kamerx2 nckmtclf altconserv shakoi1999 neverlandsurvi1 marjala2 westthebest07 dayzeechain,Not about the police
 westchicagopd polic suppos determin whether someon good reason someth alw,About the police - Neutral
 chicago polic boost presenc jewish school synagogu molotov cocktail found chicago tribun,About the police - Positive
 iambadland cwbchicago chicagopolic fals polic report chicago dont worri alderman joe chicago isnt even c,About the police - Negative
 smartphon know youv polic love one track locat,About the police - Neutral
 womenshistori nationalpoliceweek heard mari owen went work citi chicago 1888 support,About the police - Positive
 alfredwebr polic get arrest tortur chicago case,About the police - Neutral
 chicago politican arrest get judg jussi smollett smartnew,Not about the police
 anyon theatlant particip hire rahm emanuel editor asham rew,About the police - Positive
 andrewdecker593 chicago pregnant woman gone chicago home respons facebook offer free babi cloth murd,Not about the police
 attempt act arson report lakeview synagogu polic attempt act arson report ansh,Not about the police
 potu view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48,About the police - Positive
 sencunningham advanc measur improv access benefit chicago polic,About the police - Positive
 jemel roberson shoot medic examin say slain guard cloth fatal polic shoot werent label se,About the police - Negative
 scotttbrower1 cwbchicago chicagopolic bleach involv,About the police - Negative
 earlier today chicago polic shot kill man mental health crisi,About the police - Positive
 fox32new chicago polic brand new train tool show deal peopl special need mental ill,About the police - Neutral
 sever polic depart respond larg fight chicago height neighborhood resid say,About the police - Neutral
 19yearold pregnant woman found dead chicago babi cut womb polic,About the police - Negative
 jjjackie45 chicagopolic like u,About the police - Positive
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chica,Not about the police
 chicagopolic new tool help solv violent crime publicsafeti,About the police - Positive
 jemel roberson shoot medic examin say slain guard cloth fatal polic shoot werent label se,About the police - Neutral
 soitgo need get commit mayor lightfoot chicago polic depart earli otherwis bure,About the police - Negative
 chicago polic union altern fact polic reform,About the police - Neutral
 ajplu pregnant high schooler chicago found dead week went hous offer free babi cloth babi cut,Not about the police
 polic chicago charg three peopl thursday connect murder pregnant teenag whose unborn b,About the police - Neutral
 man die accident shoot polic say via suntim,About the police - Neutral
 file fals polic report face full legal consequ say trump smack chicago prosecut,About the police - Neutral
 alyssahymanwsb miss pregnant teenag found dead babi cut womb famili say start faceb,Not about the police
 american militari news proclaim chicago polic boost presenc jewish school synagogu molotov coc,About the police - Neutral
 chicago mayor tradit reli citi polic offic secur new mayor lori lightfoot secur det,About the police - Neutral
 fox10phoenix break polic believ 19yearold pregnant woman went miss lure home southwest side kill,About the police - Neutral
 polic zombi raccoon threaten pet health chicago suburb hitechcj illinoi,About the police - Neutral
 iosbakerjo sever incom aldermen say theyll back stall chicago polic civilian oversight plan headlin,About the police - Neutral
 democrat bring state that chicago calif also crime rate climb time stand,Not about the police
 florida sheriff man arrest slap sleep girlfriend face cheeseburg smartnew,Not about the police
 miss pregnant teen found dead babi cut womb,Not about the police
 cwbchicago chicagopolic hell,About the police - Neutral
 suntim polic say there evid indic link muhlaysia booker death april 12 beat suffer,Not about the police
 theintercept educ controversi defin rahmemanuel first term second consum wi,Not about the police
 nra armedcitizen shoot groin ride car die five day later,Not about the police
 infant rip womb murder woman polic sourc say via suntim type pe,Not about the police
 greenvillenew pregnant woman gone chicago home respons facebook offer free babi cloth strangl,Not about the police
 confirm ald proco joe moreno arrest charg file fals polic report cwbchicago,About the police - Neutral
 famili believ facebook promis free babi cloth lure pregnant woman chicago home polic,Not about the police
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chica,Not about the police
 opinion rahm emanuel chicago lead polic reform,About the police - Positive
 chicago polic deploy rang protest tactic,About the police - Positive
 pregnant us teen kill babi taken womb polic polic chicago charg three peopl thursday connectio,About the police - Neutral
 sad 55 peopl lose live order chicagopolic start someth,About the police - Negative
 much hate chicago synagogu target arson vandal polic step patrol via usatoday,About the police - Neutral
 cop bike patrol highcrim area nbc chicago,About the police - Neutral
 wgnnew chicago polic fatal shot man follow barricad situat citi woodlawn neighborhood wednesday,About the police - Neutral
 israelcampu chicago synagogu target attempt arson attack weekend,Not about the police
 chicagocaps17 amaz turnout chicago polic offic attend annual nation polic week dc much love respect,About the police - Positive
 apcentralregion famili believ facebook promis free babi cloth lure pregnant woman chicago home polic say,About the police - Negative
 nvanclev cnn call chicagosmayor footnot long racist histori racial violenc chicago segreg c,Not about the police
 new chicago mayor doesnt want chicago polic protect danger time countri,About the police - Neutral
 latest 3 arrest death pregnant woman chicago ap latest slay pregnant chicago w,Not about the police
 alderman moreno arrest chicago file fals polic report via cwbchicago,About the police - Neutral
 polic search suspect help steal 100 gun western illinoi,About the police - Neutral
 steugenechicago student amp faculti rais 200 chicago polic depart memori fund today wear blue support,About the police - Positive
 aw three peopl charg miss pregnant woman found dead chicago southwest side ac,Not about the police
 jtumid eastsiderico ajplu mean chicagopolic visibl shaken press confer,About the police - Neutral
 spring grove woman 71 asleep pickup truck came barrel bedroom middl night,Not about the police
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48,About the police - Negative
 chicagotribun chicago polic investig three molotov cocktail found outsid ansh sholom bnai israel congreg,About the police - Neutral
 thejusticedept follow covertli electron harass poison amp setup frame racist fbi use l,About the police - Negative
 ochoalopez made arrang pick babi cloth clarisa met facebook group accord,Not about the police
 theatlant rahmemanuel mayor suppress shoot info black man chicago polic bad actorspleas,About the police - Negative
 cbschicago polic say stray gunfir struck suburban school bu drop student museum scienc industri ch,About the police - Positive
 fox32new warn polic men pose plumber construct worker trick elderli chicago homeown let th,Not about the police
 realdonaldtrump northern ill dist court judg robert dow threwout lawsuit prevent case set preced,Not about the police
 transpar sought chicago black person hilari buri polic abus,About the police - Positive
 realsaavedra wow still go guy imagin citi chicago polic depart,About the police - Positive
 dont like polic much propos instead keithboykin chicago postfergu,About the police - Neutral
 cstbreak polic search suspect beat rob person sleep red line train,Not about the police
 jap,About the police - Positive
